objid,ra,dec,u,g,r,i,z,distance
5.82094E+17,229.03024,-0.133079,22.056,20.701,20.238,20.073,20.396,1.822967
5.82094E+17,229.030975,-0.13118,21.656,20.798,20.464,20.343,20.292,1.7579
5.82094E+17,229.018034,-0.130946,24.195,22.164,20.789,20.161,20.037,1.400431
5.82094E+17,229.02443,-0.128274,22.747,21.337,21.025,21.008,20.95,1.39199
5.82094E+17,229.030517,-0.129822,22.383,21.573,21.265,21.005,20.87,1.677196
5.82094E+17,229.028039,-0.128568,22.875,21.548,21.094,20.804,20.891,1.526231
5.82094E+17,229.029436,-0.129572,22.873,21.681,21.271,21.107,21.009,1.625038
5.82094E+17,229.024528,-0.129201,23.725,22.542,22.203,22.218,21.953,1.443222
5.82094E+17,229.029183,-0.134372,23.05,22.762,22.241,21.906,21.719,1.852608
5.82094E+17,229.023947,-0.136615,21.604,20.616,20.214,19.944,19.923,1.831409
5.82094E+17,229.022817,-0.136719,23.011,22.24,21.691,21.578,21.507,1.813598
5.82094E+17,229.026679,-0.085884,21.746,19.421,18.289,17.787,17.532,1.576759
5.82094E+17,229.033194,-0.089246,20.536,19.032,18.421,18.165,18.05,1.670514
5.82094E+17,229.026107,-0.08488,22.051,21.002,20.649,20.502,20.441,1.610989
5.82094E+17,229.025588,-0.087182,21.963,21.11,20.744,20.673,20.408,1.476158
5.82094E+17,229.028784,-0.086966,22.236,21.143,20.832,20.747,20.581,1.594636
5.82094E+17,229.030265,-0.086935,22.071,21.293,20.85,20.721,20.579,1.651046
5.82094E+17,229.031102,-0.08898,22.764,22.05,21.534,21.286,21.106,1.592409
5.82094E+17,229.027465,-0.087402,22.686,22.278,21.921,21.734,21.053,1.526905
5.82094E+17,229.03367,-0.088108,23.869,22.755,22.385,21.934,22.005,1.738186
5.82094E+17,229.031815,-0.087524,25.39,23.449,22.519,22.469,22.404,1.685424
5.82094E+17,229.03238,-0.092422,21.609,19.246,18.19,17.788,17.594,1.508765
5.82094E+17,229.032464,-0.091878,22.334,20.868,20.439,20.283,20.604,1.533326
5.82094E+17,229.031572,-0.091049,22.009,20.874,20.484,20.325,20.429,1.525629
5.82094E+17,229.031006,-0.092641,22.337,21.308,21.032,20.791,20.99,1.436953
5.82094E+17,229.034988,-0.12407,21.735,20.605,20.198,20.051,20.027,1.636768
5.82094E+17,229.03616,-0.12485,24.379,22.553,22.019,21.95,21.288,1.721166
5.82094E+17,229.036192,-0.116256,21.631,20.502,20.119,19.961,19.835,1.484394
5.82094E+17,229.037426,-0.116065,21.837,20.661,20.25,20.131,20.043,1.551084
5.82094E+17,229.040345,-0.114587,21.578,20.768,20.383,20.27,20.171,1.696529
5.82094E+17,229.037754,-0.11469,23.762,21.994,21.551,21.565,22.259,1.547042
5.82094E+17,229.038305,-0.114657,23.205,22.187,21.72,21.739,21.053,1.578603
5.82094E+17,229.042274,-0.114243,23.284,21.849,21.545,21.461,20.956,1.805225
5.82094E+17,229.039587,-0.11641,23.502,22.552,21.94,21.867,21.506,1.681023
5.82094E+17,229.039154,-0.11615,23.095,22.172,21.937,21.6,22.313,1.65161
5.82094E+17,229.042023,-0.11509,23.334,22.691,22.126,21.918,21.976,1.801422
5.82094E+17,229.040602,-0.113843,24.598,23.01,22.39,22.156,21.624,1.702118
5.82094E+17,229.039041,-0.113275,23.803,23.044,22.626,22.255,21.495,1.603651
5.82094E+17,229.038833,-0.103164,21.802,20.822,20.579,20.385,20.319,1.590918
5.82094E+17,229.039802,-0.102198,22.506,21.651,21.318,20.988,21.036,1.65964
5.82094E+17,229.039482,-0.123865,21.657,20.456,19.965,19.767,19.716,1.856456
5.82094E+17,229.038997,-0.122172,21.967,21.087,20.744,20.623,20.618,1.781373
5.82094E+17,229.038457,-0.124214,23.818,23.469,22.534,22.732,21.611,1.814673
5.82094E+17,229.041333,-0.110757,20.683,19.278,18.655,18.386,18.325,1.718854
5.82094E+17,229.04029,-0.109898,21.635,20.517,20.015,19.845,19.902,1.65252
5.82094E+17,229.042049,-0.109577,22.915,22.397,22.11,21.8,21.768,1.756863
5.82094E+17,229.03998,-0.093198,24.325,22.416,21.825,21.397,20.704,1.862715
5.82094E+17,229.043699,-0.111806,22.176,20.997,20.689,20.459,20.614,1.866531
5.82094E+17,229.044106,-0.106132,21.892,20.844,20.555,20.411,20.235,1.882473
5.82094E+17,229.043403,-0.105064,22.807,22.039,21.654,21.854,21.514,1.845806
5.82094E+17,229.041807,-0.105555,22.994,22.577,22.154,22.041,21.636,1.747648
5.82094E+17,228.985921,-0.099238,22.176,21.341,21.002,20.83,21.032,1.700019
5.82094E+17,228.986459,-0.100132,22.316,21.41,21.006,20.724,20.59,1.652942
5.82094E+17,228.987703,-0.109645,22.182,21.569,21.206,21.18,20.864,1.50833
5.82094E+17,229.00543,-0.080008,22.79,21.353,20.954,20.829,20.655,1.748358
5.82094E+17,229.002797,-0.079747,22.465,21.576,21.218,21.106,21.189,1.809579
5.82094E+17,229.00294,-0.081424,22.186,21.494,21.288,21.034,20.785,1.712012
5.82094E+17,229.004672,-0.079407,23.54,21.889,21.443,21.412,20.903,1.795074
5.82094E+17,229.006507,-0.080822,24.242,22.997,22.687,22.369,21.169,1.685497
5.82094E+17,229.018564,-0.08375,24.469,22.523,22.12,22.143,21.903,1.507212
5.82094E+17,229.018616,-0.083118,23.429,22.702,22.015,21.934,22.447,1.544855
5.82094E+17,229.021784,-0.079599,22.218,21.146,20.78,20.709,20.548,1.798704
5.82094E+17,229.026403,-0.134546,22.47,21.893,21.504,21.36,21.506,1.77904
5.82094E+17,229.036853,-0.120433,22.661,21.895,21.524,21.28,21.082,1.619113
5.82094E+17,229.035176,-0.11913,23.655,22.057,21.722,21.552,21.295,1.494174
5.82094E+17,229.036558,-0.121866,23.038,22.267,22.094,21.934,21.769,1.644497
5.82094E+17,229.037368,-0.123263,23.971,22.917,22.504,22.208,21.851,1.729103
5.82094E+17,229.034706,-0.120109,24.736,23.17,22.647,22.074,21.862,1.496023
5.82094E+17,229.035802,-0.119888,25.11,23.299,22.709,22.352,22.395,1.548073
5.82094E+17,229.042775,-0.107662,22.119,21.194,20.854,20.668,20.64,1.798804
5.82094E+17,228.984304,-0.110194,23.003,22.225,22.068,21.857,21.395,1.713925
5.82094E+17,228.984452,-0.10789,24.863,22.766,22.337,22.217,22.301,1.700961
5.82094E+17,228.984605,-0.114663,23.621,22.521,21.979,21.617,22.585,1.735568
5.82094E+17,228.983696,-0.115681,23.55,22.562,22.1,21.948,21.223,1.802995
5.82094E+17,228.985671,-0.114663,23.243,22.692,22.104,22.589,21.328,1.673271
5.82094E+17,228.986093,-0.106381,24.77,22.983,22.386,22.779,23.061,1.606117
5.82094E+17,228.987886,-0.107271,25.656,23.111,21.677,20.267,19.613,1.495891
5.82094E+17,228.989927,-0.102184,23.387,22.295,22.064,21.818,21.527,1.419074
5.82094E+17,228.990293,-0.101033,23.998,23.035,22.444,22.25,22.295,1.417203
5.82094E+17,228.992714,-0.131386,24.169,23.437,24.067,23.345,23.115,1.84059
5.82094E+17,229.003209,-0.133376,22.878,21.98,21.724,21.545,21.236,1.616468
5.82094E+17,229.003698,-0.13594,23.608,22.129,21.781,21.407,21.044,1.751688
5.82094E+17,229.005887,-0.13853,25.745,23.224,22.432,22.651,22.907,1.86649
5.82094E+17,229.006516,-0.13126,22.886,22.283,21.808,21.542,21.099,1.434026
5.82094E+17,229.00804,-0.131573,23.477,22.969,22.607,22.191,21.61,1.431156
5.82094E+17,229.008622,-0.085086,24.922,23.342,22.928,22.314,22.893,1.409329
5.82094E+17,229.010548,-0.080921,22.639,21.329,20.992,20.803,20.727,1.642306
5.82094E+17,229.009967,-0.081822,24.435,22.722,22.159,22.253,21.315,1.591787
5.82094E+17,229.011439,-0.131556,22.725,21.92,21.512,21.426,22.82,1.403755
5.82094E+17,229.013231,-0.0812,24.402,22.818,22.349,22.074,21.838,1.620224
5.82094E+17,229.015493,-0.080523,23.517,22.393,22.054,21.713,21.736,1.668441
5.82094E+17,229.026096,-0.080299,24.104,22.955,22.361,21.992,21.43,1.854442
5.82094E+17,229.026504,-0.131565,23.821,22.859,22.38,22.147,21.938,1.625243
5.82094E+17,229.027184,-0.081778,22.815,21.325,20.893,20.972,20.944,1.805019
5.82094E+17,229.027597,-0.081192,22.973,21.97,21.768,21.767,21.049,1.847758
5.82094E+17,229.036069,-0.113524,23.609,22.333,21.988,21.844,21.662,1.432187
5.82094E+17,229.037199,-0.094666,25.29,23.208,23.045,22.333,21.744,1.674105
5.82094E+17,229.03785,-0.095165,23.994,22.601,21.928,22.174,21.128,1.69429
5.82094E+17,229.037911,-0.092043,22.829,22.257,21.708,21.656,21.654,1.791578
5.82094E+17,229.041774,-0.102629,23.179,22.849,22.277,22.042,21.466,1.770263
5.82094E+17,228.992455,-0.122341,25.559,23.707,22.695,22.893,21.36,1.486583
5.82094E+17,228.970514,-0.099409,18.767,17.68,17.876,18.042,18.167,2.591413
5.82094E+17,228.969821,-0.101427,21.947,20.497,20.112,19.971,19.936,2.610547
5.82094E+17,228.971398,-0.100369,22.345,21.626,21.212,21.065,20.997,2.528172
5.82094E+17,228.9783,-0.115289,19.314,17.722,17.03,16.716,16.561,2.113225
5.82094E+17,228.979112,-0.086592,19.432,17.957,17.396,17.188,17.089,2.401305
5.82094E+17,228.977373,-0.087933,23.73,22.544,21.844,21.767,21.744,2.448873
5.82094E+17,228.978418,-0.102248,21.908,20.759,20.418,20.219,20.259,2.093614
5.82094E+17,228.976127,-0.102291,21.668,20.84,20.458,20.409,20.376,2.228782
5.82094E+17,228.979045,-0.102072,22.138,21.293,21.009,20.972,22.054,2.058385
5.82094E+17,228.981171,-0.101418,22.352,21.558,21.127,20.966,20.744,1.94088
5.82094E+17,228.979727,-0.106688,23.128,21.778,21.496,21.205,21.06,1.986419
5.82094E+17,228.976892,-0.101614,23.02,22.252,21.751,21.566,21.22,2.190416
5.82094E+17,228.980988,-0.101958,24.944,22.403,21.969,21.69,20.827,1.945104
5.82094E+17,228.979749,-0.103924,23.969,23.475,21.846,21.431,21.005,1.999592
5.82094E+17,228.979024,-0.103657,25.483,23.272,22.265,21.991,21.537,2.044805
5.82094E+17,228.976164,-0.101081,23.402,22.783,22.414,22.055,21.44,2.239269
5.82094E+17,228.980913,-0.105479,23.616,23.123,22.477,22.118,21.412,1.920192
5.82094E+17,228.978322,-0.103435,23.595,23.274,22.79,22.428,22.368,2.088352
5.82094E+17,228.987772,-0.144913,22.433,21.117,20.726,20.67,20.548,2.665924
5.82094E+17,228.997128,-0.13794,20.118,17.568,16.245,15.538,15.113,2.016974
5.82094E+17,228.997375,-0.141211,20.439,18.623,17.889,17.599,17.455,2.186223
5.82094E+17,229.000145,-0.138265,21.578,20.638,20.28,20.152,20.091,1.957157
5.82094E+17,229.002256,-0.143238,21.541,20.56,20.27,20.277,20.178,2.195396
5.82094E+17,229.003024,-0.141284,21.913,20.796,20.466,20.295,20.268,2.069911
5.82094E+17,229.000574,-0.142662,21.94,21.085,20.739,20.558,20.398,2.19398
5.82094E+17,228.996237,-0.136796,22.583,21.569,21.452,21.442,20.912,1.982791
5.82094E+17,228.994911,-0.138632,22.54,21.6,21.233,21.081,21.151,2.118012
5.82094E+17,229.000864,-0.137312,22.407,21.738,21.276,21.063,21.592,1.887846
5.82094E+17,228.998267,-0.138699,22.572,22.296,22.247,21.879,21.396,2.02711
5.82094E+17,228.999161,-0.136568,23.106,22.001,21.462,21.291,21.442,1.888613
5.82094E+17,228.995009,-0.134227,22.9,22,21.573,21.462,21.15,1.891572
5.82094E+17,229.001359,-0.139752,24.192,22.148,21.757,21.633,21.863,2.013741
5.82094E+17,228.995595,-0.141014,23.149,22.378,21.838,21.803,21.532,2.223062
5.82094E+17,229.002712,-0.139984,24.951,22.354,21.857,21.715,21.335,2.000813
5.82094E+17,229.000746,-0.143595,25.516,23.301,22.616,22.499,22.534,2.243462
5.82094E+17,229.001894,-0.138317,25.087,24.221,22.759,23.026,21.841,1.921848
5.82094E+17,229.001168,-0.149772,18.201,16.806,16.26,16.016,15.908,2.590116
5.82094E+17,228.997987,-0.14989,19.037,17.196,16.44,16.096,15.916,2.654615
5.82094E+17,229.001327,-0.146725,20.765,18.419,17.34,16.917,16.69,2.411857
5.82094E+17,228.993371,-0.145274,21.668,20.454,19.934,19.735,19.667,2.511408
5.82094E+17,229.005022,-0.148161,21.771,20.515,20.083,19.954,19.85,2.44267
5.82094E+17,228.991751,-0.145225,22.098,21.083,20.756,20.609,20.64,2.55539
5.82094E+17,229.005113,-0.145455,22.116,21.199,20.753,20.63,20.597,2.282375
5.82094E+17,228.997952,-0.145433,22.099,21.179,20.793,20.728,20.489,2.405055
5.82094E+17,228.996192,-0.145115,22.371,21.265,20.891,20.728,20.8,2.428712
5.82094E+17,228.99437,-0.145771,22.693,21.572,21.172,20.934,20.592,2.51086
5.82094E+17,228.995097,-0.143755,22.768,21.699,21.256,21.087,21.163,2.383136
5.82094E+17,229.003181,-0.146073,22.416,21.71,21.307,21.247,21.195,2.344557
5.82094E+17,229.003427,-0.149698,24.244,22.955,21.78,21.053,20.804,2.552613
5.82094E+17,229.004599,-0.146404,24,22.919,22.161,21.798,21.767,2.344471
5.82094E+17,228.99514,-0.146561,24.386,22.429,22.143,21.929,21.311,2.533834
5.82094E+17,229.004503,-0.144393,23.419,22.313,21.886,21.738,21.468,2.227878
5.82094E+17,229.02253,-0.065995,15.065,14.938,13.127,12.992,12.973,2.598732
5.82094E+17,229.026358,-0.073475,21.848,20.938,20.54,20.406,20.342,2.236687
5.82094E+17,229.0196,-0.070349,21.877,20.9,20.583,20.384,20.515,2.307445
5.82094E+17,229.024382,-0.073446,22.051,21.152,20.843,20.59,21.587,2.197948
5.82094E+17,229.024225,-0.074013,22.534,21.232,20.829,20.827,20.608,2.162718
5.82094E+17,229.019451,-0.071306,23.12,22.543,21.768,21.417,21.523,2.249336
5.82094E+17,229.025309,-0.071819,23.189,22.282,21.92,22.033,21.473,2.308266
5.82094E+17,229.035461,-0.086138,19.617,18.183,17.554,17.247,17.119,1.8976
5.82094E+17,229.034327,-0.084942,23.053,21.469,20.998,20.769,20.687,1.901509
5.82094E+17,229.032976,-0.082874,23.514,23.357,22.593,22.27,22.19,1.942807
5.82094E+17,229.036095,-0.13423,18.679,16.458,15.58,15.188,14.978,2.095904
5.82094E+17,229.038795,-0.134463,21.277,20.013,19.446,19.152,19.155,2.217162
5.82094E+17,229.041404,-0.13279,21.205,19.942,19.385,19.116,18.981,2.263226
5.82094E+17,229.035868,-0.132214,21.931,20.915,20.529,20.389,20.322,1.997919
5.82094E+17,229.038353,-0.135762,21.742,20.915,20.493,20.324,20.229,2.255125
5.82094E+17,229.034611,-0.13686,21.996,21.141,20.788,20.577,20.723,2.160932
5.82094E+17,229.034991,-0.137513,22.44,21.121,20.842,20.693,20.815,2.205931
5.82094E+17,229.042079,-0.13388,22.259,21.099,20.691,20.578,20.439,2.336725
5.82094E+17,229.036338,-0.135179,22.833,21.26,20.359,20.178,22.819,2.148247
5.82094E+17,229.039313,-0.133901,22.728,21.617,21.308,21.17,20.841,2.215524
5.82094E+17,229.040777,-0.134532,22.802,22.109,21.679,21.574,21.632,2.305186
5.82094E+17,229.042481,-0.135423,23.999,22.629,21.978,22.055,22.084,2.416472
5.82094E+17,229.036256,-0.136325,23.392,22.576,21.981,21.997,22.302,2.197336
5.82094E+17,229.03562,-0.138308,24.068,22.874,22.597,22.44,22.666,2.266741
5.82094E+17,229.044257,-0.097133,21.939,20.138,19.261,18.949,18.845,2.000844
5.82094E+17,229.043771,-0.097385,22.501,20.861,20.681,20.43,20.62,1.968265
5.82094E+17,229.042991,-0.099088,25.13,24.224,23.461,21.75,21.362,1.89216
5.82094E+17,229.044025,-0.098811,23.728,22.62,22.167,21.897,21.355,1.956331
5.82094E+17,229.043878,-0.100373,23.518,22.763,22.182,22.291,21.537,1.922884
5.82094E+17,229.044797,-0.095676,24.424,23.258,22.514,22.492,21.883,2.061622
5.82094E+17,229.045205,-0.129315,18.667,17.43,17.552,17.66,17.744,2.320648
5.82094E+17,229.047748,-0.128368,21.888,21.132,20.843,20.635,20.715,2.420993
5.82094E+17,229.045923,-0.126229,22.446,21.272,20.931,20.834,20.951,2.262693
5.82094E+17,229.04242,-0.141292,22.427,21.314,20.988,20.927,20.844,2.664743
5.82094E+17,229.051288,-0.118476,18.86,17.614,17.317,17.174,17.163,2.39015
5.82094E+17,229.053352,-0.119419,21.744,20.751,20.344,20.208,20.176,2.524514
5.82094E+17,229.054513,-0.120904,22.068,20.953,20.616,20.429,20.429,2.616258
5.82094E+17,229.051279,-0.11958,22.407,21.462,21.157,21.021,21.185,2.407557
5.82094E+17,229.052132,-0.090287,18.681,17.493,17.019,16.839,16.8,2.593128
5.82094E+17,228.968783,-0.114387,22.405,21.201,20.827,20.757,20.626,2.666998
5.82094E+17,228.971901,-0.122978,20.909,19.567,18.978,18.714,18.597,2.609227
5.82094E+17,228.973119,-0.12179,24.126,22.447,22.026,21.908,21.965,2.516606
5.82094E+17,228.978011,-0.096147,21.706,20.484,20.05,19.836,19.905,2.209078
5.82094E+17,228.977598,-0.098135,22.554,21.617,21.144,21.047,20.922,2.196773
5.82094E+17,228.977812,-0.096898,23.955,22.481,22.084,22.222,21.759,2.206082
5.82094E+17,228.978492,-0.124296,22.535,19.769,18.638,18.217,17.934,2.273791
5.82094E+17,228.978437,-0.119171,21.886,21.007,20.604,20.553,20.529,2.164311
5.82094E+17,228.978454,-0.122528,21.994,20.997,20.702,20.548,20.785,2.232862
5.82094E+17,228.976227,-0.120314,25.361,23.059,21.394,20.281,19.773,2.311597
5.82094E+17,228.981077,-0.118788,22.448,21.33,21.276,20.867,21.17,2.006589
5.82094E+17,228.982193,-0.118746,23.089,21.663,21.277,21.186,20.586,1.942393
5.82094E+17,228.97966,-0.118948,22.704,21.896,21.527,21.422,21.501,2.090343
5.82094E+17,228.980353,-0.120358,23.737,22.752,22.293,22.143,21.406,2.078976
5.82094E+17,228.97878,-0.120954,22.786,23.102,22.196,21.981,21.644,2.17994
5.82094E+17,228.981148,-0.120856,24.283,23.01,22.444,22.498,21.841,2.045297
5.82094E+17,228.977272,-0.121968,23.862,24.352,22.65,22.555,22.971,2.286158
5.82094E+17,228.980397,-0.133646,21.939,20.972,20.658,20.543,20.436,2.472007
5.82094E+17,228.981995,-0.133527,22.348,21.665,21.13,21.019,21.678,2.392797
5.82094E+17,228.980246,-0.134807,22.326,21.719,21.433,21.287,21.246,2.522641
5.82094E+17,228.980376,-0.095493,21.899,20.847,20.465,20.23,20.127,2.089498
5.82094E+17,228.980662,-0.108993,21.37,20.458,20.016,19.773,19.716,1.928852
5.82094E+17,228.985524,-0.087012,21.608,20.444,19.973,19.761,19.724,2.072341
5.82094E+17,228.981664,-0.093609,21.606,20.566,20.231,20.106,20.148,2.063114
5.82094E+17,228.988478,-0.087318,21.946,20.746,20.418,20.31,20.602,1.923375
5.82094E+17,228.987765,-0.087092,24.972,24.131,22.544,20.639,19.753,1.964778
5.82094E+17,228.988465,-0.088127,22.072,21.226,20.899,20.687,21.005,1.892728
5.82094E+17,228.981098,-0.09054,22.938,21.858,21.296,21.108,20.764,2.177325
5.82094E+17,228.988095,-0.083412,22.577,21.628,21.346,21.202,21.014,2.099803
5.82094E+17,228.987446,-0.087031,24.203,23.057,23.462,23.82,22.52,1.981791
5.82094E+17,228.987079,-0.127493,21.662,20.503,20.049,19.745,20.047,1.929151
5.82094E+17,228.985969,-0.125246,22.455,22.205,21.707,21.566,21.571,1.907285
5.82094E+17,228.98779,-0.131851,21.635,20.515,20.115,19.903,19.87,2.065321
5.82094E+17,228.992511,-0.081066,20.415,18.925,18.326,18.06,17.905,2.032832
5.82094E+17,228.991486,-0.080249,23.51,22.892,22.299,22.131,22.023,2.109031
5.82094E+17,228.992393,-0.132843,21.987,20.917,20.583,20.367,20.367,1.91975
5.82094E+17,228.994214,-0.070262,21.272,20.212,19.854,19.704,19.629,2.534739
5.82094E+17,228.992367,-0.070556,23.948,23.126,22.652,22.171,21.687,2.569916
5.82094E+17,228.996198,-0.077141,22.767,21.546,21.149,21.02,20.553,2.113091
5.82094E+17,228.996472,-0.078707,24.168,22.466,21.948,21.641,21.702,2.022668
5.82094E+17,229.004737,-0.073147,21.199,20.169,19.737,19.582,19.527,2.158126
5.82094E+17,229.005872,-0.073961,23.084,21.522,21.141,21.008,21.361,2.095948
5.82094E+17,229.005833,-0.075726,24.171,22.104,21.711,21.524,21.054,1.992743
5.82094E+17,229.004895,-0.072328,23.933,22.412,21.924,21.743,21.241,2.203972
5.82094E+17,229.007424,-0.150955,21.894,20.734,20.34,20.195,20.089,2.585478
5.82094E+17,229.008708,-0.15117,21.891,20.932,20.602,20.464,20.195,2.589866
5.82094E+17,229.008522,-0.149133,23.148,22.023,21.585,21.473,20.895,2.469359
5.82094E+17,229.010532,-0.069745,21.666,20.604,20.254,20.074,20.006,2.311323
5.82094E+17,229.011161,-0.149306,21.402,20.441,20.021,19.854,19.881,2.468345
5.82094E+17,229.01088,-0.148242,22.157,21.346,20.943,20.738,20.683,2.405258
5.82094E+17,229.011608,-0.150731,22.296,21.366,20.996,20.936,20.964,2.552856
5.82094E+17,229.012271,-0.152414,23.212,22.357,21.831,21.917,22.557,2.653004
5.82094E+17,229.011301,-0.152485,23.876,22.355,21.897,21.618,22.198,2.658619
5.82094E+17,229.012116,-0.07296,21.234,20.256,19.892,19.683,19.674,2.114827
5.82094E+17,229.012907,-0.073589,22.556,21.268,21.053,20.795,20.654,2.076691
5.82094E+17,229.014869,-0.145288,21.77,20.782,20.459,20.31,20.254,2.228734
5.82094E+17,229.013178,-0.145431,21.524,20.69,20.291,20.12,20.126,2.233987
5.82094E+17,229.012275,-0.144191,22.703,22.021,21.447,21.134,21.521,2.159688
5.82094E+17,229.014411,-0.147605,22.35,22.033,21.605,21.402,20.896,2.366285
5.82094E+17,229.01576,-0.146475,24.605,22.856,22.28,22.805,22.304,2.303356
5.82094E+17,229.013313,-0.147346,23.673,22.578,22.093,21.899,21.447,2.348991
5.82094E+17,229.015586,-0.073001,22.049,20.851,20.463,20.228,20.346,2.118532
5.82094E+17,229.013925,-0.071903,23.135,22.259,21.693,21.562,21.341,2.178849
5.82094E+17,229.014945,-0.071967,23.542,22.431,22.265,22.073,21.661,2.177814
5.82094E+17,229.017294,-0.069669,23.736,23.077,22.58,21.971,21.823,2.32752
5.82094E+17,229.01949,-0.151944,23.262,22.608,22.119,21.751,21.629,2.655184
5.82094E+17,229.030524,-0.134312,21.47,20.517,20.025,19.857,19.845,1.893533
5.82094E+17,229.03345,-0.132793,22.167,20.897,20.393,20.137,19.958,1.92676
5.82094E+17,229.034192,-0.131297,21.995,21.277,20.821,20.65,21.183,1.888856
5.82094E+17,229.025036,-0.077119,21.813,20.61,20.197,20.053,19.89,2.00414
5.82094E+17,229.024269,-0.078492,23.2,22.294,21.812,21.549,21.608,1.910707
5.82094E+17,229.027331,-0.076856,21.647,20.672,20.298,20.11,20.018,2.072893
5.82094E+17,229.031816,-0.145756,21.619,20.744,20.355,20.264,20.468,2.525757
5.82094E+17,229.029403,-0.146681,21.893,20.981,20.571,20.38,20.436,2.514592
5.82094E+17,229.031002,-0.147082,22.323,21.433,20.874,20.767,20.87,2.575897
5.82094E+17,229.029676,-0.071793,20.22,18.992,19.012,19.026,19.206,2.407709
5.82094E+17,229.034487,-0.141664,20.439,19.12,18.529,18.271,18.16,2.392586
5.82094E+17,229.033272,-0.139361,20.363,19.137,19.166,19.209,19.253,2.237069
5.82094E+17,229.035234,-0.146963,21.606,20.664,20.287,20.185,20.264,2.687222
5.82094E+17,229.036496,-0.145156,22.014,20.981,20.601,20.368,20.215,2.634046
5.82094E+17,229.035067,-0.140676,22.129,21.17,20.869,20.738,20.619,2.362617
5.82094E+17,229.026493,-0.138524,22.385,21.341,21.002,20.836,20.896,1.996337
5.82094E+17,229.027906,-0.138748,22.16,21.298,20.967,20.764,21.003,2.044725
5.82094E+17,229.030051,-0.140992,22.189,21.52,21.15,21.091,21.081,2.223152
5.82094E+17,229.035262,-0.144196,23.193,21.602,21.218,21.128,21.188,2.545767
5.82094E+17,229.029942,-0.139122,22.808,21.754,21.311,21.148,21.122,2.12131
5.82094E+17,229.033986,-0.143412,23.729,22.14,21.8,21.675,21.059,2.465627
5.82094E+17,229.026092,-0.137768,23.377,22.696,22.567,22.263,22.593,1.9451
5.82094E+17,229.0276,-0.13965,25.859,22.914,22.138,22.412,21.201,2.085485
5.82094E+17,229.033307,-0.140937,23.911,22.843,22.354,22.027,22.205,2.31778
5.82094E+17,229.025224,-0.138193,23.217,22.817,22.699,22.218,21.813,1.947891
5.82094E+17,229.026442,-0.140225,24.696,23.062,22.452,22.167,22.208,2.088567
5.82094E+17,229.037144,-0.144713,24.827,24.044,23.457,22.318,23.003,2.633051
5.82094E+17,229.024921,-0.139974,24.349,24.134,22.784,23.807,23.074,2.040421
5.82094E+17,229.043764,-0.114097,23.321,22.2,21.879,22.015,22.557,1.891221
5.82094E+17,229.039473,-0.083012,21.772,20.699,20.276,20.079,20.067,2.201157
5.82094E+17,229.040184,-0.082471,21.827,20.915,20.552,20.403,20.33,2.254471
5.82094E+17,229.039389,-0.081093,22.225,21.066,20.695,20.622,20.67,2.278208
5.82094E+17,229.038152,-0.081924,22.119,21.28,20.947,20.743,20.878,2.190749
5.82094E+17,229.042156,-0.12672,22.561,21.69,21.423,21.26,21.094,2.082553
5.82094E+17,229.041261,-0.127851,23.299,22.876,22.589,21.97,21.694,2.075159
5.82094E+17,229.041244,-0.128663,22.962,22.718,22.141,21.904,22.529,2.102383
5.82094E+17,229.041912,-0.091147,22.614,21.67,21.262,21.015,21.193,2.024323
5.82094E+17,229.04372,-0.125683,21.616,20.451,19.953,19.78,19.827,2.131236
5.82094E+17,229.044679,-0.138297,22.051,21.215,20.806,20.707,20.539,2.630518
5.82094E+17,229.044533,-0.139171,22.244,21.464,21.092,20.911,20.953,2.660496
5.82094E+17,229.045872,-0.10768,21.88,20.946,20.613,20.388,20.38,1.984561
5.82094E+17,229.046921,-0.10938,22.517,21.881,21.5,21.268,20.939,2.048463
5.82094E+17,229.046288,-0.10821,23.844,22.154,21.519,21.408,21.774,2.009281
5.82094E+17,229.046276,-0.123582,21.937,21.074,20.687,20.501,20.499,2.210425
5.82094E+17,229.045506,-0.124146,23.126,22.009,21.164,21.005,20.387,2.18318
5.82094E+17,229.047502,-0.122415,22.943,21.564,21.246,21.071,21.059,2.250055
5.82094E+17,229.047051,-0.111632,21.326,20.182,19.605,19.331,19.301,2.065358
5.82094E+17,229.049626,-0.112521,23.632,23.083,21.609,20.099,19.516,2.22471
5.82094E+17,229.048695,-0.108694,23.755,22.187,21.638,21.51,20.987,2.1539
5.82094E+17,229.049164,-0.111643,24.029,23.103,22.345,22.01,21.37,2.191596
5.82094E+17,229.049549,-0.109704,24.014,22.759,22.235,22.148,22.333,2.206771
5.82094E+17,229.04866,-0.113023,24.172,23.078,23.632,22.467,21.932,2.170981
5.82094E+17,229.047874,-0.114822,21.854,20.817,20.476,20.313,20.38,2.141612
5.82094E+17,229.049653,-0.133264,22.239,19.395,17.915,17.039,16.539,2.674117
5.82094E+17,229.051546,-0.129167,21.565,20.627,20.251,20.082,20.053,2.643329
5.82094E+17,229.050337,-0.130596,24.655,22.687,22.309,21.7,21.812,2.622624
5.82094E+17,229.051458,-0.130689,23.928,22.892,22.318,22.103,22.232,2.683402
5.82094E+17,229.054952,-0.108159,23.813,22.685,21.231,19.415,18.442,2.529116
5.82094E+17,229.056381,-0.108215,21.801,20.665,20.295,20.123,20.06,2.614846
