objid,ra,dec,u,g,r,i,z,distance
5.82094E+17,229.02138,-0.117398,24.177,21.303,19.843,19.129,18.768,0.754689
5.82094E+17,229.024683,-0.11476,21.177,20.275,19.901,19.719,19.812,0.814431
5.82094E+17,229.025217,-0.116612,22.117,20.964,20.57,20.424,20.504,0.899883
5.82094E+17,229.026534,-0.11328,22.904,21.16,20.831,20.705,21.07,0.878573
5.82094E+17,229.028703,-0.112675,22.945,21.632,21.376,21.171,20.99,0.991222
5.82094E+17,229.006522,-0.122944,22.612,21.341,20.964,20.784,20.72,0.961526
5.82094E+17,228.997716,-0.115398,23.495,21.79,21.362,21.131,21.65,1.002801
5.82094E+17,228.999343,-0.115804,23.257,22.245,21.938,21.659,21.237,0.927407
5.82094E+17,228.997038,-0.109422,21.884,19.403,17.994,17.26,16.863,0.948546
5.82094E+17,228.999084,-0.108666,22.395,21.565,21.207,21.079,21.639,0.82344
5.82094E+17,229.010759,-0.093845,20.961,19.734,19.176,18.911,18.833,0.869954
5.82094E+17,229.008747,-0.094598,22.891,21.599,21.145,21.151,20.766,0.851553
5.82094E+17,229.009268,-0.095704,23.82,22.553,21.959,21.998,23.099,0.779159
5.82094E+17,229.012407,-0.093803,24.772,23.132,22.549,22.731,21.468,0.864131
5.82094E+17,229.0182,-0.096762,21.682,20.623,20.305,20.125,20.089,0.758927
5.82094E+17,229.020663,-0.097511,21.965,21.115,20.738,20.596,20.357,0.796175
5.82094E+17,229.023535,-0.101312,20.632,19.513,19.347,19.283,19.248,0.765279
5.82094E+17,229.024898,-0.097618,20.292,18.891,18.288,18.012,17.888,0.964379
5.82094E+17,229.015577,-0.094347,22.34,21.193,20.877,20.822,20.549,0.847727
5.82094E+17,229.004874,-0.118756,25.261,22.859,22.482,22.167,21.958,0.792025
5.82094E+17,229.005218,-0.09719,24.978,23.107,22.471,22.043,22.506,0.802062
5.82094E+17,229.007223,-0.09583,22.948,21.803,21.463,21.303,20.81,0.814122
5.82094E+17,229.012019,-0.091774,23.11,22.083,21.723,21.555,21.48,0.986697
5.82094E+17,229.018052,-0.121449,22.978,22.588,22.276,22.008,22.532,0.855135
5.82094E+17,229.02126,-0.094783,22.813,21.702,21.302,20.976,21.026,0.951691
5.82094E+17,229.022737,-0.120083,23.438,22.722,22.362,22.045,21.697,0.92939
5.82094E+17,229.022958,-0.121051,24.924,23.28,22.249,22.534,22.101,0.982862
5.82094E+17,229.026623,-0.099899,24.618,23.046,22.877,21.902,23.508,0.967428
5.82094E+17,229.01037,-0.120538,23.629,24.047,22.651,23.297,22.355,0.754505
5.82094E+17,228.99236,-0.116726,23.265,22.305,21.906,21.387,21.685,1.328807
5.82094E+17,228.991638,-0.114817,23.915,24.246,23.456,21.414,20.807,1.330322
5.82094E+17,228.990648,-0.113695,24.555,23.269,23.056,22.669,21.485,1.369381
5.82094E+17,228.994294,-0.097543,25.006,22.863,22.47,21.947,22.499,1.281327
5.82094E+17,229.031048,-0.105408,21.774,20.672,20.249,20.151,20.013,1.107614
5.82094E+17,229.031139,-0.10089,21.737,20.646,20.311,20.159,20.215,1.18453
5.82094E+17,229.033684,-0.104589,21.768,20.776,20.364,20.25,20.413,1.271608
5.82094E+17,229.010836,-0.089401,19.874,18.319,17.662,17.352,17.239,1.134078
5.82094E+17,229.009413,-0.090031,21.877,21.018,20.507,20.283,20.337,1.108922
5.82094E+17,229.009671,-0.091056,23.653,21.276,20.894,20.791,21.182,1.045612
5.82094E+17,229.027188,-0.116942,18.927,16.917,16.114,15.755,15.575,1.010117
5.82094E+17,229.03287,-0.11627,22.239,21.485,21.121,21.11,20.952,1.297923
5.82094E+17,228.990286,-0.107444,20.671,19.536,19.011,18.793,18.674,1.3516
5.82094E+17,228.990238,-0.110574,23.51,22.54,22.062,21.731,22.129,1.361209
5.82094E+17,228.990253,-0.109047,25.518,23.335,22.814,22.702,22.557,1.35379
5.82094E+17,228.993091,-0.103179,20.725,19.355,18.783,18.504,18.378,1.220327
5.82094E+17,228.992087,-0.10511,21.021,20.081,19.779,19.68,19.661,1.2565
5.82094E+17,228.994011,-0.102359,22.797,21.768,21.38,21.312,21.194,1.180584
5.82094E+17,228.996044,-0.103989,21.898,20.973,20.736,20.571,20.78,1.036609
5.82094E+17,228.995025,-0.104198,23.344,21.8,21.515,21.177,20.939,1.093216
5.82094E+17,229.006584,-0.125847,21.158,19.92,19.351,19.066,18.967,1.122608
5.82094E+17,229.00278,-0.127152,22.442,21.058,20.849,20.485,20.513,1.286258
5.82094E+17,229.006865,-0.127289,21.992,20.974,20.646,20.511,20.393,1.199451
5.82094E+17,229.007542,-0.126246,22.203,21.218,20.917,20.665,20.669,1.127781
5.82094E+17,229.001135,-0.12661,22.064,21.311,21.011,20.749,20.773,1.307669
5.82094E+17,229.010709,-0.124866,22.625,21.117,20.803,20.724,20.499,1.007822
5.82094E+17,229.00178,-0.127091,23.083,22.636,21.995,21.433,21.923,1.312193
5.82094E+17,229.006257,-0.12796,23.256,22.269,22.081,21.866,20.884,1.248887
5.82094E+17,229.003063,-0.123798,23.259,21.954,21.685,21.693,20.79,1.103265
